Volcanoes of the World 4.3.0,,Downloaded on 13 Jul 2014 at 11:45 PM,,,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
358080,Pali-Aike Volcanic Field,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358080,Pali-Aike Volcanic Field,"Mazzarini F, D'Orazio M",2003,Spatial distribution of cones and satellite-detected lineaments in the Pali Aike volcanic field (southernmost Patagonia): insights into the tectonic setting of a Neogene rift system,"J Volc Geotherm Res, 125: 291-305"
358080,Pali-Aike Volcanic Field,Moreno H,1985,,(pers. comm.)
358080,Pali-Aike Volcanic Field,"Skewes M A, Stern C R",1979,Petrology and geochemistry of alkali basalts and ultramafic inclusions from the Palei-Aike volcanic field in southern Chile and the origin of the Patagonian plateau lavas,"J Volc Geotherm Res, 6: 3-25"
358090,Fueguino,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358090,Fueguino,Martinic-B M,1988,Actividad volcanica historica en la region de Magellenes,"Rev Geol Chile, 15: 181-186"
358090,Fueguino,"Puig A, Herve M, Suarez M, Saunders A D",1984,"Calc-alkaline and alkaline Miocene and calc-alkaline recent volcanism in the southernmost Patagonian Cordillera, Chile","J Volc Geotherm Res, 21: 149-163"
360010,Saba,"Baker P E, Buckley F, Padfield T",1980,"Petrology of the volcanic rocks of Saba, West Indies","Bull Volc, 43: 337-346"
360010,Saba,"Defant M J, Sherman S, Maury R C, Bellon H, de Boer J, Davidson J, Kepezhinskas P",2001,"The geology, petrology, and petrogenesis of Saba Island, Lesser Antilles","J Volc Geotherm Res, 107: 87-111"
360010,Saba,"Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds)",2005a,Volcanic Hazard Atlas of the Lesser Antilles,"Trinidad and Tobago, Seismic Res Unit, Univ West Indies, 279 p"
360010,Saba,"Robson G R, Tomblin J",1966,West Indies,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 20: 1-56"
360010,Saba,"Roobol M J, Smith A L",1989,Volcanic and associated hazards in the Lesser Antilles,"In: Latter J H (ed), {Volcanic Hazards - Assessment and Monitoring}, Berlin: Springer-Verlag, p 57-85"
360010,Saba,"Roobol M J, Smith A L",2004,"Volcanology of Saba and St. Eustatius, northern Lesser Antilles","Amsterdam: Royal Netherlands Academy of Arts and Letters, 320 p"
360010,Saba,Shepherd J B,2001,Volcanoes of the eastern Caribbean: past activity and future hazards,"Paper presented at the Workshop on Volcanic and Seismic Hazards in the eastern Caribbean, May 28- June 1, 2001, 57 p"
360010,Saba,"Smith A L, Roobol M J",2005a,Saba,"In: Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds). {Volcanic Hazard Atlas of the Lesser Antilles}, Trinidad and Tobago, Seismic Res Unit, Univ West Indies, p 179-190"
360020,"Quill, The","Robson G R, Tomblin J",1966,West Indies,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 20: 1-56"
360020,"Quill, The","Roobol M J, Smith A L",1989,Volcanic and associated hazards in the Lesser Antilles,"In: Latter J H (ed), {Volcanic Hazards - Assessment and Monitoring}, Berlin: Springer-Verlag, p 57-85"
360020,"Quill, The","Roobol M J, Smith A L",2004,"Volcanology of Saba and St. Eustatius, northern Lesser Antilles","Amsterdam: Royal Netherlands Academy of Arts and Letters, 320 p"
360020,"Quill, The",Shepherd J B,2001,Volcanoes of the eastern Caribbean: past activity and future hazards,"Paper presented at the Workshop on Volcanic and Seismic Hazards in the eastern Caribbean, May 28- June 1, 2001, 57 p"
360020,"Quill, The","Smith A L, Roobol M J",2005b,St. Eustatius,"In: Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds). {Volcanic Hazard Atlas of the Lesser Antilles}, Trinidad and Tobago, Seismic Res Unit, Univ West Indies, p 192-202"
360030,Liamuiga,Baker P E,1985,"Volcanic hazards on St. Kitts and Montserrat, West Indies","J Geol Soc London, 142: 279-295"
360030,Liamuiga,"Harkness D D, Roobol M J, Smith A L, Stipp J J, Baker P E",1994,"Radiocarbon redating of contaminated samples from a tropical volcano: the Mansion 'Series' of St Kitts, West Indies","Bull Volc, 56: 326-334"
360030,Liamuiga,Roberston R,2005a,St. Kitts,"In: Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds). {Volcanic Hazard Atlas of the Lesser Antilles}, Trinidad and Tobago, Seismic Res Unit, Univ West Indies, p 204-217"
360030,Liamuiga,"Robson G R, Tomblin J",1966,West Indies,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 20: 1-56"
360030,Liamuiga,"Roobol M J, Smith A L, Wright J V",1985,"Dispersal and characteristics of pyroclastic fall deposits from Mt. Misery volcano, West Indies","Geol Rundschau, 74: 321-335"
360030,Liamuiga,Shepherd J B,2001,Volcanoes of the eastern Caribbean: past activity and future hazards,"Paper presented at the Workshop on Volcanic and Seismic Hazards in the eastern Caribbean, May 28- June 1, 2001, 57 p"
360030,Liamuiga,Smithsonian Institution-SEAN,1975-89,[Monthly event reports],"Bull Scientific Event Alert Network (SEAN), v 1-14"
360040,Nevis Peak,"Robson G R, Tomblin J",1966,West Indies,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 20: 1-56"
360040,Nevis Peak,Shepherd J B,2001,Volcanoes of the eastern Caribbean: past activity and future hazards,"Paper presented at the Workshop on Volcanic and Seismic Hazards in the eastern Caribbean, May 28- June 1, 2001, 57 p"
360040,Nevis Peak,Simpson K,2005,Nevis,"In: Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds). {Volcanic Hazard Atlas of the Lesser Antilles}, Trinidad and Tobago, Seismic Res Unit, Univ West Indies, p 169-178"
360050,Soufrière Hills,Baker P E,1985,"Volcanic hazards on St. Kitts and Montserrat, West Indies","J Geol Soc London, 142: 279-295"
360050,Soufrière Hills,"Baxter P J, Boyle R, Cole P, Neri A, Spence R, Zuccaro G",2005,"The impact of pyroclastic surges on buildings at the eruption of the Soufriere Hills volcano, Montserrat","Bull Volc, 67: 292-313"
360050,Soufrière Hills,"Belousov A, Voight B, Belousov M",2007,"Directed blasts and blast-generated pyroclastic density currents: a comparison of the Bezymianny 1956, Mount St Helens 1980, and Soufriere Hills, Montserrat 1997 eruptions and deposits","Bull Volc, 69: 701-740"
360050,Soufrière Hills,"Carn S A, Watts R B, Thompson G, Norton G E",2004,"Anatomy of a lava dome collapse: the 20 March 2000 event at Soufriere Hills volcano, Montserrat","J Volc Geotherm Res, 131: 241-264"
360050,Soufrière Hills,"Chiodini G, Cioni R, Frullani A, Guidi M, Marini L, Prati F, Raco B",1996,"Fluid geochemistry of Montserrat Island, West Indies","Bull Volc, 58: 380-392"
360050,Soufrière Hills,"Deplus C, Le Friant A, Boudon G, Komorowski J-C, Villemant B, Harford C, Segoufin J, Cheminee J-L",2001,Submarine evidence for large-scale debris avalanches in the Lesser Antilles arc,"Earth Planet Sci Lett, 192: 145-157"
360050,Soufrière Hills,"Druitt T H, Kokellar B P (eds)",2002,"The eruption of Soufriere Hills volcano, Montserrat from 1995 to 1999","Geol Soc London Mem, 21: 1-645"
360050,Soufrière Hills,"Edmonds M, Herd R A, Strutt M H",2006,"Tephra deposits associated with a large lava dome collapse, Soufriere Hills volcano, Montserrat, 12-15 July 2003","J Volc Geotherm Res, 153: 313-330"
360050,Soufrière Hills,"Harford C L, Pringle M S, Sparks R S J, Young S R",2002,The volcanic evolution of Montserrat using 40Ar/39Ar geochronology,"In; Druitt T H, Kokellar B P (eds), The eruption of Soufriere Hills volcano, Montserrat, from 1995 to 1999, {Geol Soc London Mem}, 21: 93-113"
360050,Soufrière Hills,"Hart K, Carey S, Sigurdsson H, Sparks R S J, Robertson R E A",2004,"Discharge of pyroclastic flows into the sea during the 1996-1998 eruptions of the Soufriere Hills volcano, Montserrat","Bull Volc, 66: 599-614"
360050,Soufrière Hills,"Herd R A, Edmonds M, Bass V A",2005,"Catastrophic lava dome failure at Soufriere Hills volcano, Montserrat, 12-13 July 2003","J Volc Geotherm Res, 148: 234-252"
360050,Soufrière Hills,"Hincks T, Sparks S, Dunkely P, Cole P",2005,Montserrat,"In: Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds). {Volcanic Hazard Atlas of the Lesser Antilles}, Trinidad and Tobago, Seismic Res Unit, Univ West Indies, p 147-167"
360050,Soufrière Hills,"Robson G R, Tomblin J",1966,West Indies,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 20: 1-56"
360050,Soufrière Hills,"Roobol M J, Smith A L",1998,"Pyroclastic stratigraphy of the Soufriere Hills volcano, Montserrat - implications for the present eruption","Geophys Res Lett, 25: 3393-3396"
360050,Soufrière Hills,Shepherd J B,1989,"Eruptions, eruption precursors and related phenomena in the Lesser Antilles","In: Latter J H (ed), {Volcanic Hazards - Assessment and Monitoring}, Berlin: Springer-Verlag, p 292-311"
360050,Soufrière Hills,"Wadge G, Isaacs M C",1988,"Mapping the volcanic hazards from Soufriere Hills volcano, Montserrat, West Indies using an image processor","J Geol Soc London, 145: 541-551"
360050,Soufrière Hills,"Young S R, Sparks R S J, Aspinall W P, Lynch L L, Miller A D, Roberston R E, Shepherd J B",1998,"Overview of the eruption of Soufriere HIlls volcano, Montserrat, 18 July 1995 to December 1997","Geophys Res Lett, 25: 3389-3392"
360050,Soufrière Hills,"Zellmer G F, Hawkesworth C J, Sparks R S J, Thomas L E, Harford C L, Brewer T S, Loughlin S C",2003,"Geochemical evolution of the Soufriere Hills volcano, Montserrat, Lesser Antilles volcanic arc","J Petr, 44: 1349-1374"
360060,Soufrière Guadeloupe,"Besson P, Poirier J-P",1994,The 3100 BP eruption of the Soufriere of Guadeloupe - A transmission electron microscopy study of the cryptodome andesite,"Bull Volc, 56: 184-192"
360060,Soufrière Guadeloupe,"Boudon G, Semet M P, Vincent P M",1989,"The evolution of la Grande Decouverte (la Soufriere) volcano, Guadalope (FWI)","In: Latter J H (ed), {Volcanic Hazards - Assessment and Monitoring}, Berlin: Springer-Verlag, p 86-109"
360060,Soufrière Guadeloupe,"Komorowski J-C, Boudon G, Semet M, Beauducel F, Antenor-Habazac C, Bazin S, Hammouya G",2005,Guadeloupe,"In: Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds). {Volcanic Hazard Atlas of the Lesser Antilles}, Trinidad and Tobago, Seismic Res Unit, Univ West Indies, p 67-105"
360060,Soufrière Guadeloupe,"Robson G R, Tomblin J",1966,West Indies,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 20: 1-56"
360060,Soufrière Guadeloupe,Westercamp D,1980,"Une methode d'evaluation et de zonation des risques volcaniques a la Soufriere de Guadeloupe, Antilles Francaises","Bull Volc, 43: 431-452"
360080,"Diables, Morne aux",Bellon H,1988,Reconnaissance chronologique des deux premieres phases d'activite volcanique en Dominique (Petites Antilles),"Compte Rendus Acad Sci Paris, 306: 1487-1492"
360080,"Diables, Morne aux","Lindsay J M, Smith A L, Roobol M J, Stasiuk M V",2005b,Dominica,"In: Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds). {Volcanic Hazard Atlas of the Lesser Antilles}, Trinidad and Tobago, Seismic Res Unit, Univ West Indies, p 1-47"
360080,"Diables, Morne aux","Robson G R, Tomblin J",1966,West Indies,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 20: 1-56"
360080,"Diables, Morne aux",Shepherd J B,1989,"Eruptions, eruption precursors and related phenomena in the Lesser Antilles","In: Latter J H (ed), {Volcanic Hazards - Assessment and Monitoring}, Berlin: Springer-Verlag, p 292-311"
360080,"Diables, Morne aux",Shepherd J B,2001,Volcanoes of the eastern Caribbean: past activity and future hazards,"Paper presented at the Workshop on Volcanic and Seismic Hazards in the eastern Caribbean, May 28- June 1, 2001, 57 p"
360080,"Diables, Morne aux","Watts R B, Robertson R E, Abraham W, Cole P, de Roche T, Edwards S, Higgins M, Johnson M, Joseph E P, Latchman J, Lynch L, Nath N, Ramsingh C, Stewart R C",2012,"Elevated seismic activity beneath the slumbering Morne aux Diables volcano, northern Dominica and the monitoring role of the Seismic Research Centre","2012 American Geophysical Union Fall Meeting, San Francisco, CA (URL: http://fallmeeting.agu.org/2012/eposterss/eposter/v53e-2879/)"
360090,"Diablotins, Morne",Bellon H,1988,Reconnaissance chronologique des deux premieres phases d'activite volcanique en Dominique (Petites Antilles),"Compte Rendus Acad Sci Paris, 306: 1487-1492"
360090,"Diablotins, Morne","Lindsay J M, Smith A L, Roobol M J, Stasiuk M V",2005b,Dominica,"In: Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds). {Volcanic Hazard Atlas of the Lesser Antilles}, Trinidad and Tobago, Seismic Res Unit, Univ West Indies, p 1-47"
360090,"Diablotins, Morne","Robson G R, Tomblin J",1966,West Indies,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 20: 1-56"
360090,"Diablotins, Morne",Shepherd J B,1989,"Eruptions, eruption precursors and related phenomena in the Lesser Antilles","In: Latter J H (ed), {Volcanic Hazards - Assessment and Monitoring}, Berlin: Springer-Verlag, p 292-311"
360090,"Diablotins, Morne",Shepherd J B,2001,Volcanoes of the eastern Caribbean: past activity and future hazards,"Paper presented at the Workshop on Volcanic and Seismic Hazards in the eastern Caribbean, May 28- June 1, 2001, 57 p"
360100,"Trois Pitons, Morne","Lindsay J M, Smith A L, Roobol M J, Stasiuk M V",2005b,Dominica,"In: Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds). {Volcanic Hazard Atlas of the Lesser Antilles}, Trinidad and Tobago, Seismic Res Unit, Univ West Indies, p 1-47"
360100,"Trois Pitons, Morne","Lindsay J M, Trumbull R B, Siebel W",2005c,"Geochemistry and petrogenesis of late Pleistocene to Recent volcanism in southern Dominica, Lesser Antilles","J Volc Geotherm Res, 148: 253-294"
360100,"Trois Pitons, Morne","Newhall C G, Dzurisin D",1988,Historical unrest at large calderas of the world,"U S Geol Surv Bull, 1855: 1108 p, 2 vol"
360100,"Trois Pitons, Morne","Robson G R, Tomblin J",1966,West Indies,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 20: 1-56"
360100,"Trois Pitons, Morne","Roobol M J, Wright J V, Smith A L",1983,Calderas of gravity-slide structures in the Lesser Antilles Island Arc?,"J Volc Geotherm Res, 19: 121-134"
360100,"Trois Pitons, Morne",Seismic Research Unit,2001,"Seismo-volcanic activity in Dominica (updated July 11, 2001)","Seismic Res Unit, Univ West Indies (http://www.uwiseismic.com/dominica.html)"
360100,"Trois Pitons, Morne",Shepherd J B,1989,"Eruptions, eruption precursors and related phenomena in the Lesser Antilles","In: Latter J H (ed), {Volcanic Hazards - Assessment and Monitoring}, Berlin: Springer-Verlag, p 292-311"
360100,"Trois Pitons, Morne",Shepherd J B,2001,Volcanoes of the eastern Caribbean: past activity and future hazards,"Paper presented at the Workshop on Volcanic and Seismic Hazards in the eastern Caribbean, May 28- June 1, 2001, 57 p"
360100,"Trois Pitons, Morne",Sigurdsson H,1972,"Partly-welded pyroclast flow deposits in Dominica, Lesser Antilles","Bull Volc, 36: 148-163"
360101,"Watt, Morne","Lindsay J M, Smith A L, Roobol M J, Stasiuk M V",2005b,Dominica,"In: Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds). {Volcanic Hazard Atlas of the Lesser Antilles}, Trinidad and Tobago, Seismic Res Unit, Univ West Indies, p 1-47"
360101,"Watt, Morne","Lindsay J M, Trumbull R B, Siebel W",2005c,"Geochemistry and petrogenesis of late Pleistocene to Recent volcanism in southern Dominica, Lesser Antilles","J Volc Geotherm Res, 148: 253-294"
360101,"Watt, Morne","Robson G R, Tomblin J",1966,West Indies,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 20: 1-56"
360101,"Watt, Morne",Seismic Research Unit,2001,"Seismo-volcanic activity in Dominica (updated July 11, 2001)","Seismic Res Unit, Univ West Indies (http://www.uwiseismic.com/dominica.html)"
360101,"Watt, Morne",Shepherd J B,1989,"Eruptions, eruption precursors and related phenomena in the Lesser Antilles","In: Latter J H (ed), {Volcanic Hazards - Assessment and Monitoring}, Berlin: Springer-Verlag, p 292-311"
360101,"Watt, Morne",Shepherd J B,2001,Volcanoes of the eastern Caribbean: past activity and future hazards,"Paper presented at the Workshop on Volcanic and Seismic Hazards in the eastern Caribbean, May 28- June 1, 2001, 57 p"
360110,"Plat Pays, Morne","Deplus C, Le Friant A, Boudon G, Komorowski J-C, Villemant B, Harford C, Segoufin J, Cheminee J-L",2001,Submarine evidence for large-scale debris avalanches in the Lesser Antilles arc,"Earth Planet Sci Lett, 192: 145-157"
360110,"Plat Pays, Morne","Halama R, Boudon G, Villemant B, Joron J-L, Le Friant A, Komorowski J-C",2006,"Pre-eruptive crystallization conditions of mafic and silicic magmas at the Plat Pays volcanic complex, Dominica (Lesser Antilles)","J Volc Geotherm Res, 153: 200-220"
360110,"Plat Pays, Morne","Lindsay J M, Smith A L, Roobol M J, Stasiuk M V",2005b,Dominica,"In: Lindsay J M, Robertson R E A, Shepherd J B, Ali S (eds). {Volcanic Hazard Atlas of the Lesser Antilles}, Trinidad and Tobago, Seismic Res Unit, Univ West Indies, p 1-47"
360110,"Plat Pays, Morne","Lindsay J M, Stasiuk M V, Shepherd J B",2003,"Geological history and potential hazards of the late-Pleistocene to Recent Plat Pays volcanic complex, Dominica, Lesser Antilles","Bull Volc, 65: 201-220"
360110,"Plat Pays, Morne","Lindsay J M, Trumbull R B, Siebel W",2005c,"Geochemistry and petrogenesis of late Pleistocene to Recent volcanism in southern Dominica, Lesser Antilles","J Volc Geotherm Res, 148: 253-294"
360110,"Plat Pays, Morne","Robson G R, Tomblin J",1966,West Indies,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 20: 1-56"
360110,"Plat Pays, Morne","Roobol M J, Wright J V, Smith A L",1983,Calderas of gravity-slide structures in the Lesser Antilles Island Arc?,"J Volc Geotherm Res, 19: 121-134"
360110,"Plat Pays, Morne","Samper A, Quidelleur X, Boudon G, Le Friant A, Komorowski J C",2008,Radiometric dating of three large volume flank collapses in the Lesser Antilles arc,"J Volc Geotherm Res, 176: 485-492"
360110,"Plat Pays, Morne",Seismic Research Unit,2001,"Seismo-volcanic activity in Dominica (updated July 11, 2001)","Seismic Res Unit, Univ West Indies (http://www.uwiseismic.com/dominica.html)"
360110,"Plat Pays, Morne",Shepherd J B,1989,"Eruptions, eruption precursors and related phenomena in the Lesser Antilles","In: Latter J H (ed), {Volcanic Hazards - Assessment and Monitoring}, Berlin: Springer-Verlag, p 292-311"
360110,"Plat Pays, Morne",Shepherd J B,2001,Volcanoes of the eastern Caribbean: past activity and future hazards,"Paper presented at the Workshop on Volcanic and Seismic Hazards in the eastern Caribbean, May 28- June 1, 2001, 57 p"
360110,"Plat Pays, Morne",Wadge G,1985,"Morne Patates volcano, southern Dominica, Lesser Antilles","Geol Mag, 122: 253-260"
